Country,State,Year,Month,"Ration Cards (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Priority Household (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Priority Household (UOM:Number), Scaling Factor:1","Quantity Distributed Through Portability Inter Distric Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Inter District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1"
India,West Bengal,"Calendar Year (Jan - Dec), 2022","July, 2022",54677205,1636,17569,40856,330311,56.74,248.46,1419.82,6200.52
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","June, 2022",16751,11,62,99,735,0.38,0.98,3.47,12.82
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",8873654,8968,84801,155482,1579606,2912.36,13286.78,2770.27,12645.14
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",180490,0,0,0,0,0,0,0,0
India,Assam,"Calendar Year (Jan - Dec), 2022","June, 2022",5885527,28,238,8394,62196,0.98,4.91,293.47,1321.71
India,Bihar,"Calendar Year (Jan - Dec), 2022","June, 2022",18380683,15210,133375,637552,5336549,521.53,3023.14,22026.09,119904.86
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022","June, 2022",5166205,2821,21124,19896,128212,98.41,409.3,591.99,2124.68
India,Delhi,"Calendar Year (Jan - Dec), 2022","June, 2022",1781955,1827,47206,10839,467851,62.64,928.52,372.29,9425.11
India,Goa,"Calendar Year (Jan - Dec), 2022","June, 2022",143068,0,31,12,278,0,0.44,0.42,5.12
India,Gujarat,"Calendar Year (Jan - Dec), 2022","June, 2022",7428004,2079,20543,4756,59179,70.58,464.83,160.28,1313.52
India,Haryana,"Calendar Year (Jan - Dec), 2022","June, 2022",2804022,2209,11517,86670,1026494,76.74,253.38,1509.27,11822.9
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",747023,0,0,0,1,0,0.09,0,0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022","June, 2022",1642342,182,2368,2889,28495,5.94,42.71,99.86,537.42
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","June, 2022",5962949,124,4792,4301,136133,3.24,46.24,112.88,1285.64
India,Karnataka,"Calendar Year (Jan - Dec), 2022","June, 2022",11482735,3442,120206,27468,867547,1.2,17.67,9.61,137.17
India,Kerala,"Calendar Year (Jan - Dec), 2022","June, 2022",4067968,9088,46278,109946,732718,293.43,707.08,3601.03,12824.33
India,Ladakh,"Calendar Year (Jan - Dec), 2022","June, 2022",28898,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022","June, 2022",4751,0,0,136,746,0,0,4.76,17.75
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","June, 2022",11898268,9341,70744,49310,513447,317.4,1444.26,1664.22,10644.85
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","June, 2022",15401560,11026,97781,47148,729372,362.73,2036.74,1572.02,15430.8
India,Manipur,"Calendar Year (Jan - Dec), 2022","June, 2022",568362,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","June, 2022",421521,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022","June, 2022",166633,8,39,20,111,0.28,0.77,0.7,2.32
India,Nagaland,"Calendar Year (Jan - Dec), 2022","June, 2022",308646,1,0,21,765,0.04,0,0.74,14.81
India,Odisha,"Calendar Year (Jan - Dec), 2022","June, 2022",9306421,16,581,187,2470,0.56,8.61,6.51,38.41
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","June, 2022",10404665,3809,53095,81859,1671022,131.26,1117.28,2842.78,34441.11
India,Sikkim,"Calendar Year (Jan - Dec), 2022","June, 2022",94417,0,5,51,352,0,0.11,1.78,7.44
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","June, 2022",11516204,4452,82375,14668,136227,148.16,1255.36,486.94,2119.08
India,Telangana,"Calendar Year (Jan - Dec), 2022","June, 2022",5390263,22217,231373,90583,1027161,0,0,0,19247.5
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","June, 2022",60198,322,2351,76,1723,0,0.07,2.63,36.87
