srcYear,srcMonth,srcStateName,Ration cards,Transactions through portability-Inter District under Antyodaya Anna Yojana,Transactions through portability-Inter District under Priority Household,Transactions through portability-Intra District under Antyodaya Anna Yojana,Transactions through portability-Intra District under Priority Household,Quantity distributed through portability Inter Distric under Antyodaya Anna Yojana,Quantity distributed through portability Inter District under Priority Household,Quantity distributed through portability Intra District under Antyodaya Anna Yojana,Quantity distributed through portability Intra District under Priority Household,YearCode,Year,MonthCode,Month
2022,Mar - 2022,Andhra Pradesh,8935626,9414,86292,153251,1584521,324.58,1377.81,5311.46,24595.27,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Arunachal Pradesh,180487,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Assam,5246113,6,58,1467,9857,0.25,1.43,54.66,235.07,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Bihar,18219895,17594,135521,616533,5185698,607.6,3086.88,21400.52,116075.99,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Chhattisgarh,5136721,987,6364,14017,86418,34.19,119.15,447.72,1589.71,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Daman & Diu,59943,373,2974,94,1647,0,0.07,3.26,35.11,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Delhi,1780534,17372,188685,10089,444388,61.86,941.74,349.01,9044.47,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Goa,143029,1,28,15,327,0.04,0.4,0.53,6.24,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Gujarat,7360273,2021,19416,4741,59820,68.4,445.41,159.42,1335.41,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Haryana,2784701,3463,19612,84042,986686,120.71,417.04,1463.38,11449.84,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Himachal Pradesh,744705,0,0,1,1,0,0.05,0.03,0.01,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Jammu And Kashmir,1640466,44,440,665,6405,1.21,6.22,23.22,120.98,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Jharkhand,5936071,310,2197,4438,65649,8.67,45.47,168.86,1374.45,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Karnataka,11571015,3792,120056,29763,875573,1.32,17.88,10.38,140.16,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Kerala,3967873,8376,42941,105560,683402,271.59,667.02,3459.09,12135.55,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Ladakh,28715,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Lakshadweep,4796,0,0,54,192,0,0,1.89,4.88,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Madhya Pradesh,11736446,8708,62363,48106,469817,300.55,1273.45,1656.53,9855.24,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Maharashtra,15352732,10653,91989,47810,732856,346.33,1906.11,1623.34,15609.75,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Manipur,569313,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Meghalaya,421505,0,0,2,15,0,0,0.07,0.32,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Mizoram,165845,6,33,17,94,0.21,0.68,0.6,1.98,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Nagaland,304492,0,0,25,694,0,0,0.88,13.29,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Odisha,9313435,23,775,172,2336,0.81,12.54,6.01,38.02,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Punjab,4002761,572,16048,129689,1005419,55.65,1164.37,2634.29,69244.88,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Rajasthan,10476906,3702,50984,80336,1653169,128.27,1082.01,2789.36,34186.62,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Sikkim,94065,0,6,54,411,0,0.13,1.86,8.66,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Tamil Nadu,11441934,3396,61801,10399,96065,109.88,932.01,346,1492.29,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Telangana,5439207,22919,250120,92425,1069254,310.68,0,1184.2,19905.3,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
2022,Mar - 2022,Tripura,596285,403,2458,3031,20234,13.96,42.03,104.84,404.58,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022"
